49,brzeski,Borzęcin,"Zespół Szkół w Borzęcinie. Publiczna Szkoła
Podstawowa w Borzęcinie Górnym","Borzęcin
Górny",,25,4,61,5,69,53,25,61,4,,,,,,0.5101058636958076
50,brzeski,Borzęcin,"Publiczna Szkoła Podstawowa w Borzęcinie
Dolnym",Borzęcin,,7,29,72,7,74,70,7,73,6,,,,,,0.5591538112254313
51,brzeski,Borzęcin,Publiczna Szkoła Podstawowa w Bielczy,Bielcza,,17,0,46,1,63,28,17,65,4,,,,,,0.21925112862216478
52,brzeski,Brzesko,"Publiczna Szkoła Podstawowa nr 2 im. I.
Łukasiewicza w Brzesku",Brzesko,Królowej Jadwigi,62,3,68,7,73,63,62,73,6,,,,,,0.6249733309177152
53,brzeski,Brzesko,"Publiczna Szkoła Podstawowa Nr 3 im. Mikołaja
Kopernika",Brzesko,"Legionów
Piłsudskiego",86,10,67,6,75,58,86,76,6,,,,,,0.5872627500909975
54,brzeski,Brzesko,"Publiczna Szkoła Podstawowa im. Księdza Jana
Twardowskiego",Bucze,Okulicka,12,8,65,6,70,59,12,67,5,,,,,,0.5793608872239793
55,brzeski,Brzesko,Publiczna Szkoła Podstawowa w Jasieniu,Jasień,Zielna,19,5,59,4,59,59,19,62,4,,,,,,0.4544965528950104
56,brzeski,Brzesko,Publiczna Szkoła Podstawowa,"Poręba
Spytkowska","Kasztelana
Spytkapi",17,29,60,5,66,54,17,70,5,,,,,,0.5140046275404327
57,brzeski,Brzesko,"Publiczna Szkoła Podstawowa im. Św. Stanisława
Szczepanowskiego BM w Sterkowcu",Sterkowiec,"Sosnowa
z",12,0,66,6,68,65,12,78,7,,,,,,0.5671220519434484
58,brzeski,Brzesko,"Publiczna Szkoła Podstawowa im. Bohaterów
Westerplatte w Szczepanowie",Szczepanów,Św. Stanisława,12,33,77,8,78,76,12,68,5,,,,,,0.48734602651347114
59,brzeski,Brzesko,Publiczna Szkoła Podstawowa,Mokrzyska,Wiślana,29,41,66,6,78,54,29,75,6,,,,,,0.48410343797726213
60,brzeski,Brzesko,"Publiczna Szkoła Podstawowa Nr 1 im. S. Staszica
w Jadownikach",Jadowniki,św. Prokopa,28,14,51,2,58,44,28,58,3,,,,,,0.3730629967168901
61,brzeski,Brzesko,"Publiczna Szkoła Podstawowa Nr 2 im. Kardynała
Stefana Wyszyńskiego w Jadownikach",Jadowniki,Szkolna,22,50,68,7,82,54,22,77,7,,,,,,0.4617906900877966
62,brzeski,Czchów,"Publiczna Szkoła Podstawowa w Domosławicach
im. ks. prof. Józefa Tischnera",Domosławice,,15,7,58,4,69,47,15,74,6,,,,,,0.4420015559660802
63,brzeski,Czchów,Publiczna Szkoła Podstawowa w Jurkowie,Jurków,,15,7,58,4,64,52,15,77,7,,,,,,0.4365001620194511
64,brzeski,Czchów,Publiczna Szkoła Podstawowa,Czchów,Szkolna,31,19,62,5,66,57,31,73,6,,,,,,0.528160595206456
65,brzeski,Czchów,Publiczna Szkoła Podstawowa w Tymowej,Tymowa,,23,0,66,6,72,61,23,69,5,,,,,,0.6031587303959565
66,brzeski,Czchów,"Zespół Szkół i Przedszkola - Publiczna Szkoła
Podstawowa im. Adama Mickiewicza",Złota,,21,5,64,6,75,54,21,72,6,,,,,,0.5462277070808954
67,brzeski,Czchów,"Publiczna Szkoła Podstawowa im. Ignacego
Paderewskiego",Tworkowa,,4,0,56,4,60,51,4,69,5,,,,,,0.3990973031107922
68,brzeski,Czchów,Publiczna Szkoła Podstawowa,Wytrzyszczka,,4,0,56,4,63,49,4,75,6,,,,,,0.39145119079559193
69,brzeski,Dębno,"Publiczna Szkoła Podstawowa im. Marszałka
Józefa Piłsudskiego w Biadolinach Szlacheckich","Biadoliny
Szlacheckie",,10,0,70,7,73,67,10,85,8,,,,,,0.6178173629877269
