81,dąbrowski,Mędrzechów,"Gimnazjum im. Tadeusza Kościuszki wMędrzechowie",Mędrzechów,,36,6%,70,5,59,5,47,6,54,6,31,61,5,31,43,5,61,6,0,,0,,0,
82,dąbrowski,Olesno,Gimnazjum im. Kardynała Stefana Wyszyńskiego,Olesno,Szkolna,57,7%,70,5,57,5,41,4,47,4,41,63,5,41,45,16,45,4,1,80,0,,0,
83,dąbrowski,Radgoszcz,"Gimnazjum Nr 2 im. 25-lecia pontyfikatu JanaPawła II",Luszowice,Tarnowska,23,0%,65,4,50,3,47,6,47,4,13,63,5,13,36,10,50,5,0,,0,,0,
84,dąbrowski,Radgoszcz,Gimnazjum Nr 1 im. Ojca Świętego Jana Pawła II,Radgoszcz,"Plac Św.Kazimierza",57,4%,68,5,53,4,39,4,50,5,52,57,4,52,35,5,52,5,5,35,0,,0,
85,dąbrowski,Szczucin,"Zespół Szkół w Szczucinie - Gimnazjum im.Bohaterów Września w Szczucinie",Szczucin,Kościuszki,72,13%,66,4,55,4,45,5,49,5,66,52,3,66,33,6,59,6,0,,0,,0,
86,dąbrowski,Szczucin,Gimnazjum w Borkach im. Bł. Jana Pawła II,Borki,,30,20%,69,5,54,4,57,7,54,6,15,69,6,15,47,15,42,3,0,,0,,0,
87,dąbrowski,Szczucin,Gimnazjum w Radwanie,Radwan,,11,0%,59,3,52,4,34,3,40,2,11,40,2,11,24,0,,,0,,0,,0,
88,gorlicki,m.Gorlice,Gimnazjum nr 1 w Miejskim Zespole Szkół nr 1,Gorlice,Piękna,53,15%,74,7,70,%8,55,7,57,7,51,66,5,51,46,2,66,,0,,0,,0,
89,gorlicki,m.Gorlice,"Miejski Zespół Szkół nr 4 w Gorlicach -Gimnazjum nr 4",Gorlice,Krasińskiego,52,17%,70%,5,56,5,45,5,52,5,51,65,5,51,49,2,78,,0,,0,,0,
90,gorlicki,m.Gorlice,"Gimnazjum nr 6 w Miejskim Zespole Szkół nr 6 wGorlicach im. Bohaterów Ziemi Gorlickiej",Gorlice,Hallera,38,42%,69,5,65,7,51,6,48,4,33,65,5,33,43,5,67,7,0,,0,,0,
91,gorlicki,m.Gorlice,"Gimnazjum nr 5 im. ks. Jana Twardowskiego wGorlicach",Gorlice,Krakowska,52,19%,67,%5,60,6,51,6,57,7,47,74,6,47,62,5,48,4,0,,0,,0,
92,gorlicki,m.Gorlice,"Gimnazjum nr 3 w Miejskim Zespole Szkół nr 3im. Św. Jana Kantego w Gorlicach",Gorlice,Wyszyńskiego,23,4%,71,6,56,5,46,5,51,5,23,70,6,23,47,0,,,0,,0,,0,
93,gorlicki,Biecz,Gimnazjum Nr 1 w Bieczu,Biecz,Grodzka,36,14%,75,7,64,7,47,6,54,6,36,72,6,36,51,0,,,0,,0,,0,
94,gorlicki,Biecz,"Publiczne Gimnazjum im. prof. A. Kosiby wLibuszy",Libusza,,42,14%,70,5,63,6,44,5,51,5,40,66,5,40,47,2,59,,1,53,0,,0,
95,gorlicki,Biecz,Publiczne Gimnazjum w Strzeszynie,Strzeszyn,,17,18%,69,5,68,7,53,7,67,8,16,58,4,16,38,1,78,,1,60,0,,0,
96,gorlicki,Biecz,"Publiczne Gimnazjum im. Tadeusza Kościuszki wRożnowicach",Rożnowice,,33,12%,69,5,63,6,48,6,56,7,11,67,5,11,50,22,60,6,12,31,0,,0,
97,gorlicki,Biecz,"Gimnazjum nr 2 im. Wacława Potockiego wBieczu",Biecz,Bochniewicza,24,0%,73,6,66,7,53,7,53,6,24,64,5,24,47,0,,,0,,0,,0,
98,gorlicki,Bobowa,Gimnazjum w Brzanie,Brzana,,28,11%,59,3,53,4,40,4,46,4,28,42,2,28,25,0,,,0,,0,,0,
99,gorlicki,Bobowa,Gimnazjum,Bobowa,"BohaterówBobowej",55,25%,67,5,58,5,47,6,47,4,55,62,5,55,40,0,,,0,,0,,0,
100,gorlicki,Bobowa,Gimnazjum im. ks. Jana Reca w Siedliskach,Siedliska,,34,18%,68,5,56,5,45,5,49,5,34,59,4,34,34,0,,,0,,0,,0,
101,gorlicki,Gorlice,Gimnazjum w Zespole Szkół w Ropicy Polskiej,Ropica Polska,,19,11%,79,8,64,7,60,8,62,8,18,57,4,18,42,1,93,,1,75,0,,0,
102,gorlicki,Gorlice,"Gimnazjum im. Komisji Edukacji Narodowej wZagórzanach",Zagórzany,,17,24%,75,7,64,7,52,7,54,6,17,69,6,17,45,0,,,0,,0,,0,
103,gorlicki,Gorlice,Zespół Szkół w Dominikowicach - Gimnazjum,Dominikowice,,14,0%,79,8,69,8,55,7,66,8,14,74,6,14,62,0,,,0,,0,,0,
104,gorlicki,Gorlice,"Gimnazjum im. św. Jana Pawła II w Zespole Szkółw Szymbarku",Szymbark,,29,31%,71,6,59,5,51,6,50,5,28,61,5,28,41,0,,,0,,0,,0,
