     mwg14      | dochod_bud_pra 
 30211656830724 |           4826
 30211656830725 |           4904
 30211656830726 |           4872
 30211656830727 |           5580
 30211656830801 |           4394
 30211656830802 |           4368
 30211656830803 |           4764
 30211656830804 |           4416
 30211656830805 |           4534
 30211656830901 |           4288
 30211656830902 |           3944
 30211656830903 |           4288
 30211656830904 |           4053
 30211656830905 |           4163
 30211656830906 |           5079
 30211656831001 |           3827
 30211656831002 |           4074
 30211656831003 |           4007
 30211656831004 |           4057
 30211656831005 |           4074
 30211656831111 |           4296
 30211656831112 |           4461
 30211656831113 |           4235
 30211656831114 |           4960
 30211656831121 |           4690
 30211656831122 |           4502
 30211656831123 |           4576
 30211656831124 |           4337
 30211656831125 |           4645
 30211656831211 |           5266
 30211656831212 |           5495
 30211656831213 |           5712
 30211656831214 |           4914
 30211656831215 |           5247
 30211656831216 |           5576
 30211656831221 |           4677
 30211656831222 |           4491
 30211656831223 |           4737
 30211656831224 |           4182
 30211656831231 |           5146
 30211656831232 |           5176
 30211656831233 |           4637
 30211656831234 |           5020
 30211726834001 |           4414
 30211726834002 |           4547
 30211726834003 |           4298
 30211726834111 |           4779
 30211726834112 |           5404
 30211726834113 |           4643
 30211726834114 |           4345
 30211726834115 |           5513
 30211726834121 |           4353
 30211726834122 |           4246
 30211726834123 |           4460
 30211726834124 |           4173
 30211726834125 |           4276
 30211726834201 |           4610
 30211726834202 |           4632
 30211726834203 |           4407
 30211726834204 |           4620
 30211726834311 |           4694
 30211726834312 |           5129
 30211726834313 |           5607
 30211726834321 |           4203
 30211726834322 |           4229
 30211726834323 |           4761
 30211726834324 |           4191
 30211726834403 |           4364
 30211726834404 |           3989
 30211726834501 |           5437
 30211726834502 |           4214
 30211726834503 |           4947
 30211726834504 |           4843
 30211726834505 |           4884
 30211726834506 |           4896
 30211726834507 |           4714
 30211726834508 |           4884
 30211726834601 |           4516
 30211726834602 |           4309
 30211726834603 |           4634
 30211726834604 |           4650
 30211726834605 |           4379
 30211726834606 |           4421
 30211726834701 |           4492
 30211726834702 |           4785
 30211726834703 |           4473
 30211726834704 |           4414
 30211726834705 |           4642
 30211726834706 |           4618
 30211726834707 |           5466
 30211726834811 |           4401
 30211726834812 |           4335
 30211726834813 |           4299
 30211726834814 |           5075
 30211726834815 |           4636
 30211726834821 |           4343
 30211726834822 |           4342
 30211726834823 |           4319
 30211726834824 |           4212
 30211726834825 |           4337
 30211726834911 |           4571
 30211726834912 |           4257
 30211726834913 |           4300
 30211726834914 |           4581
 30211726834921 |           4277
 30211726834922 |           4257
 30211726834923 |           4356
 30211726834924 |           4314
 30240756832002 |           3837
 30240756832102 |           4049
 30640296700101 |           4376
 30640296700201 |           4785
 30640296700202 |           4766
 30640296700203 |           4670
 30640296700301 |           4766
 30640296700302 |           4692
 30640296700303 |           4776
 30640296700304 |           4965
 30640296700401 |           4798
 30640296700402 |           4690
 30640296700403 |           4479
 30640296700404 |           4954
 30640296700405 |           4665
 30640296700406 |           4791
 30640296700407 |           4956
 30640296700501 |           4437
 30640296700502 |           4857
 30640296700503 |           4543
 30640296700504 |           5342
 30640296700505 |           5232
 30640296700601 |           4771
 30640296700701 |           4580
 30640296700702 |           4580
 30640296700801 |           5183
 30640296700901 |           4645
 30640296700902 |           4969
 30640296701001 |           4694
 30640296701002 |           4721
 30640296701003 |           4684
 30640296701004 |           4850
 30640296701005 |           4898
 30640296701201 |           4746
 30640296701301 |           4809
 30640296701302 |           4883
 30640296701401 |           4714
 30640296701402 |           4607
 30640296701403 |           4567
 30640296701404 |           4904
 30640296701405 |           4774
 30640296701501 |           4754
 30640296701601 |           4939
 30640296701701 |           4296
 30640296701702 |           4612
 30640296701703 |           4707
 30640296701704 |           4957
 30640296701705 |           4678
 30640296701801 |           4931
 30640296701802 |           4800
 30640296701803 |           4539
 30640296701804 |           4661
 30640296701901 |           4718
 30640296702011 |           4720
 30640296702012 |           4872
 30640296702013 |           4872
 30640296702014 |           4767
 30640296702015 |           5272
 30640296702021 |           5046
 30640296702022 |           4710
 30640296702023 |           4527
 30640296702024 |           4698
 30640296702025 |           4632
 30640296702026 |           4816
 30640296702101 |           4849
 30640296702102 |           4609
 30640296702103 |           4806
 30640296702104 |           4837
 30640296702105 |           4997
 30640296702106 |           5030
 30640296702201 |           4787
 30640296702301 |           4832
 30640296702401 |           5229
 30640296702501 |           4867
 30640296702502 |           4799
 30640296702503 |           4959
 30640296702504 |           4476
 30640296702505 |           4605
 30640296702506 |           5134
 30640296702601 |           4782
 30640296702602 |           4537
 30640296702603 |           4940
 30640296702604 |           4863
 30640296702605 |           4729
 30640296702606 |           4942
 30640296702607 |           4781
 30640296702608 |           4781
 30640296702609 |           4830
 30640296702701 |           4834
 30640296702702 |           5034
 30640296702703 |           4604
 30640296702704 |           4701
 30640296702705 |           4433
 30640296702706 |           4701
 30640296702707 |           4726
 30640296702708 |           4573
 30640296702801 |           4805
 30640296702802 |           4688
 30640296702803 |           4599
 30640296702804 |           4508
 30640296702805 |           5142
 30640296702806 |           5084
 30640296702901 |           4659
 30640296702902 |           4906
 30640296702903 |           4454
 30640296702904 |           4686
 30640296702905 |           4794
 30640296703001 |           4726
 30640296703002 |           4726
 30640296703003 |           4726
 30640296703004 |           4707
 30640296703005 |           4726
 30640296703006 |           4475
 30640296703007 |           4726
 30640296703101 |           4664
 30640296703102 |           4855
 30640296703103 |           4811
 30640296703104 |           4531
 30640296703105 |           4805
 30640296703106 |           4599
 30640296703201 |           5280
 30640296703202 |           4613
 30640296703203 |           4886
 30640296703204 |           4498
 30640296703205 |           4791
 30640296703301 |           4904
 30640296703302 |           4626
 30640296703303 |           4853
 30640296703304 |           4771
 30640296703305 |           5008
 30640296703306 |           4771
 30640296703401 |           4613
 30640296703402 |           4495
 30640296703403 |           5138
 30640296703404 |           4676
 30640296703405 |           4381
 30640296703406 |           4766
 30640296703407 |           4623
 30640296703501 |           4663
 30640296703502 |           4758
