   mwg14_2015   | kod_pocztowy |      nazwa_miejsc      | kod_miejsc |   nazwa_cz_miejsc   | kod_cz_miejsc | kod_gminy | kod_gminy_distr |   nazwa_woj   |  nazwa_pow  |      nazwa_gmi      | segment_gminy 
 12190553981905 | 32-020       | SYGNECZÓW              | 0341563    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981904 | 32-020       | SYGNECZÓW              | 0341563    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981425 | 32-002       | WĘGRZCE WIELKIE        | 0341706    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981422 | 32-002       | WĘGRZCE WIELKIE        | 0341706    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12061623985002 | 32-084       | ALEKSANDROWICE         | 0343504    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985106 | 32-083       | BALICE                 | 0343533    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985104 | 32-083       | BALICE                 | 0343533    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623985105 | 32-083       | BALICE                 | 0343533    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12061623984006 | 32-082       | BOLECHOWICE            | 0343562    |                     |               | 1206162   | 1206162         | MAŁOPOLSKIE   | KRAKOWSKI   | ZABIERZÓW           | A2
 12610293900217 | 31-335       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293900215 | 31-263       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
 12610293900121 | 31-354       | KRAKÓW                 | 0950463    | KRAKÓW-KROWODRZA    | 0950470       | 1261011   | 1261029         | MAŁOPOLSKIE   | KRAKÓW      | KRAKÓW-KROWODRZA    | A1
